Category,City,Segment,State/Province,Sub-Category,KPI Selector,Profit,Quantity,Sales,Total Profit,Total Quantity,Total Sales
Technology,Henderson,Home Office,Kentucky,Phones,755.96,204.1092,4,755.96,204.1092,4,755.96
Technology,Henderson,Home Office,Kentucky,Phones,391.98,113.6742,2,391.98,113.6742,2,391.98
Technology,Laredo,Consumer,Texas,Accessories,31.2,9.75,3,31.2,9.75,3,31.2
Technology,Bossier City,Corporate,Louisiana,Accessories,646.74,258.696,6,646.74,258.696,6,646.74
Technology,Roswell,Consumer,Georgia,Accessories,149.95,65.978,5,149.95,65.978,5,149.95
Technology,Philadelphia,Consumer,Pennsylvania,Phones,124.2,-31.05,3,124.2,-31.05,3,124.2
Technology,Jonesboro,Consumer,Arkansas,Phones,699.93,181.9818,7,699.93,181.9818,7,699.93
Technology,Toronto,Corporate,Ontario,Phones,209.5,58.66,10,209.5,58.66,10,209.5
Technology,Alexandria,Home Office,Virginia,Phones,187.98,52.6344,2,187.98,52.6344,2,187.98
Technology,Alexandria,Home Office,Virginia,Phones,155.35,0,13,155.35,0,13,155.35
Technology,Green Bay,Consumer,Wisconsin,Accessories,468.9,206.316,6,468.9,206.316,6,468.9
Technology,Saint Petersburg,Consumer,Florida,Phones,180.96,13.572,5,180.96,13.572,5,180.96
Technology,Chesapeake,Corporate,Virginia,Phones,144.95,42.0355,5,144.95,42.0355,5,144.95
Technology,Chesapeake,Corporate,Virginia,Phones,161.61,42.0186,1,161.61,42.0186,1,161.61
Technology,Linden,Corporate,New Jersey,Accessories,115.36,49.6048,7,115.36,49.6048,7,115.36
Technology,Chesapeake,Consumer,Virginia,Accessories,234.45,103.158,3,234.45,103.158,3,234.45
Technology,Seattle,Corporate,Washington,Accessories,239.97,86.3892,3,239.97,86.3892,3,239.97
Technology,Richmond,Corporate,Indiana,Accessories,62.31,22.4316,3,62.31,22.4316,3,62.31
Technology,New York City,Home Office,New York,Phones,5.94,1.6038,3,5.94,1.6038,3,5.94
Technology,Philadelphia,Corporate,Pennsylvania,Accessories,151.2,32.13,3,151.2,32.13,3,151.2
Technology,New York City,Home Office,New York,Phones,9.99,4.5954,1,9.99,4.5954,1,9.99
Technology,Yonkers,Consumer,New York,Accessories,479.97,177.5889,3,479.97,177.5889,3,479.97
Technology,Richmond,Corporate,Kentucky,Accessories,32.96,14.1728,2,32.96,14.1728,2,32.96
Technology,Richmond,Corporate,Kentucky,Phones,587.97,164.6316,3,587.97,164.6316,3,587.97
Technology,Logan,Consumer,Utah,Accessories,82.8,6.624,12,82.8,6.624,12,82.8
Technology,Chicago,Home Office,Illinois,Machines,574.91,156.047,2,574.91,156.047,2,574.91
Technology,Raleigh,Home Office,North Carolina,Phones,471.92,29.495,2,471.92,29.495,2,471.92
Technology,Burbank,Home Office,California,Machines,1279.968,415.9896,4,1279.968,415.9896,4,1279.968
Technology,Jacksonville,Home Office,Florida,Machines,22638.48,-1811.0784,6,22638.48,-1811.0784,6,22638.48
Technology,Jacksonville,Home Office,Florida,Machines,821.3,-16.426,4,821.3,-16.426,4,821.3
Technology,Lakeland,Corporate,Florida,Accessories,170.24,53.2,2,170.24,53.2,2,170.24
Technology,Lakeland,Corporate,Florida,Phones,323.976,28.3479,3,323.976,28.3479,3,323.976
Technology,Springfield,Corporate,Virginia,Phones,3499.93,909.9818,7,3499.93,909.9818,7,3499.93
Technology,Los Angeles,Consumer,California,Phones,604.752,37.797,6,604.752,37.797,6,604.752
Technology,San Francisco,Consumer,California,Accessories,45.48,15.918,4,45.48,15.918,4,45.48
Technology,Los Angeles,Corporate,California,Accessories,66.3,8.619,3,66.3,8.619,3,66.3
Technology,San Francisco,Corporate,California,Phones,28.784,2.8784,2,28.784,2.8784,2,28.784
Technology,Albuquerque,Home Office,New Mexico,Phones,302.376,22.6782,3,302.376,22.6782,3,302.376
Technology,Brownsville,Home Office,Texas,Phones,251.944,88.1804,7,251.944,88.1804,7,251.944
Technology,Chicago,Consumer,Illinois,Accessories,79.984,13.9972,2,79.984,13.9972,2,79.984
Technology,Athens,Consumer,Georgia,Phones,1049.93,293.9804,7,1049.93,293.9804,7,1049.93
Technology,Los Angeles,Corporate,California,Accessories,159.98,57.5928,2,159.98,57.5928,2,159.98
Technology,Los Angeles,Corporate,California,Accessories,62.31,22.4316,3,62.31,22.4316,3,62.31
Technology,Lafayette,Corporate,Louisiana,Accessories,99.98,42.9914,2,99.98,42.9914,2,99.98
Technology,Alexandria,Corporate,Virginia,Phones,28.99,8.4071,1,28.99,8.4071,1,28.99
Technology,Seattle,Corporate,Washington,Accessories,33.9,2.034,2,33.9,2.034,2,33.9
Technology,Los Angeles,Corporate,California,Accessories,299.97,131.9868,3,299.97,131.9868,3,299.97
Technology,Philadelphia,Home Office,Pennsylvania,Accessories,116.784,21.897,2,116.784,21.897,2,116.784
Technology,Columbia,Corporate,South Carolina,Phones,629.95,163.787,5,629.95,163.787,5,629.95
Technology,Marietta,Home Office,Georgia,Phones,200.97,50.2425,3,200.97,50.2425,3,200.97
Technology,Concord,Home Office,California,Accessories,399.96,139.986,4,399.96,139.986,4,399.96
Technology,Miami,Consumer,Florida,Accessories,335.944,41.993,7,335.944,41.993,7,335.944
Technology,Miami,Consumer,Florida,Accessories,383.976,81.5949,3,383.976,81.5949,3,383.976
Technology,Great Falls,Consumer,Montana,Accessories,217.44,91.3248,6,217.44,91.3248,6,217.44
Technology,Great Falls,Consumer,Montana,Phones,105.584,9.238600000,2,105.584,9.238600000,2,105.584
Technology,Austin,Home Office,Texas,Phones,758.352,265.4232,6,758.352,265.4232,6,758.352
Technology,Redondo Beach,Corporate,California,Phones,438.368,38.3572,4,438.368,38.3572,4,438.368
Technology,Redondo Beach,Corporate,California,Phones,1075.088,94.070200000,14,1075.088,94.070200000,14,1075.088
Technology,Philadelphia,Corporate,Pennsylvania,Phones,71.928,8.391600000,12,71.928,8.391600000,12,71.928
Technology,Houston,Consumer,Texas,Accessories,227.976,28.497,3,227.976,28.497,3,227.976
